,CV,Roles,Other Roles
38,Ikezawa Haruna,Breeze,"Porun (Futari wa Pretty Cure), Coco Bandicoot (Crash Bandicoot series), Teepo (Tales of Xillia & Xillia 2), Momoka Nishizawa (Sergeant Keroro), Athena Asamiya (The King of Fighters), Kisara (Tales of Arise)"
39,Imai Asami,Lappland,"Vira, Friday (Granblue Fantasy), Kurisu Makise (Steins;Gate), Mayu (Noragami), Cecillia Helmold (Atelier Totori: Alchemist of Arland), Lilith (Borderlands series), Sex Pistols (JoJo's Bizarre Adventure: All Star Battle), Michidia (Chain Chronicle), Tsubaki Yayoi, Izayoi (BlazBlue series), Noire/Black Heart (Hyperdimension Neptunia series), Chihaya Kisaragi (THE IDOLM@STER)"
40,Inoue Honoka,Honeyberry,"Karen Kisaragi (Danganronpa 3), Amulet (Granblue Fantasy), Aston Machan (Uma Musume Pretty Derby), Nanami Asari (The Idolmaster Cinderella Girls), Xiaomei (Edens Zero)"
41,Inoue Kikuko,Ling,"Mizuho Kazami (Onegai☆Teacher), Belldandy (Ah! My Goddess), Eratoeir (Rockman X Dive), Mirelia Q. Melromarc (The Rising of the Shield Hero), Alice (Genshin Impact), Kasumi Tendo (Ranma 1/2), Tsubasa Ozora (teenager) (Captain Tsubasa: Road to 2002), Macrophage (Cells at Work!), Miria (Claymore), Hrist (Valkyrie Profile: Lenneth), Virgilia (Umineko no Naku Koro ni), Li Yelan (Cardcaptor Sakura: The Movie), Chianti (Detective Conan), I-No (Guilty Gear series), The Boss (Metal Gear Solid series), Latoya Hamilton (Legend of Heroes: Kuro no Kiseki II: Crimson Sin), Mercury (Dragalia Lost), Lust (Fullmetal Alchemist Brotherhood), Hydaelyn, Venat (Final Fantasy XIV), Sephiria Arks (Black Cat), Philia Felice (Tales of Destiny), Rhea (Fire Emblem: Three Houses), Scheherazade (Fate/Grand Order), I-No (Guilty Gear series), Alcina Dimitrescu (Resident Evil Village)"
42,Inoue Marina,Pallas,"Yoko Littner (Tengen Toppa Gurren Lagann), Armin Arlert (Attack on Titan), Tohka Yatogami (Date A Live), Yozora Mikazuki (Haganai), Lea (Dragalia Lost), Elesis (Elsword), White Lily Cookie (Cookie Run: Kingdom), Kohak Hearts (Tales of Hearts), Yaoyorozu Momo (My Hero Academia), Fairy Knight Gawain/Barghest (Fate Grand Order), Morrigna (Granblue Fantasy), Sherlotta (Final Fantasy Crystal Chronicles: Echoes of Time), Vera (Punishing: Gray Raven), Female Protagonist (Persona 3 Portable), Laura Bodewig (Infinite Stratos), Alicia Melchiott (Valkyria Chronicles), 6P62, OTs-14 (Girls' Frontline), FFNF Richelieu, MNF Jean Bart (Azur Lane), Sodachi Oikura (Monogatari)"
43,Ise Mariya,"Magallan, Passenger","Levy McGarden (Fairy Tail), Killua Zoldyck (Hunter x Hunter 2011), Ray (The Promised Neverland), Tiger Lily Cookie, Sherbet Cookie (Cookie Run: Kingdom), Beq Lugg, Tataru, Nanamo ul Namo (Final Fantasy XIV: Shadowbringers), Bellina, Cupid (Dragalia Lost), Elle Mel Marta (Tales of Xillia 2), Paddra-Nsu Yeul (Final Fantasy XIII: Lightning Returns), Helel ben Shalem, Farrah (Granblue Fantasy), Astrid Remond (Lord of Heroes), Yu Meiren/Consort Yu, Hinako Akuta (Fate Grand Order), Guila (Seven Deadly Sins), Himeno (Chainsaw Man), Stocking Anarchy (Panty and Stocking with Garterbelt), Antarcticite (Land of the Lustrous), Laura S. Arseid (The Legend of Heroes: Trails of Cold Steel), Chanzhi (Neural Cloud)"
44,Ishida Akira,Phantom,"Kotarou Katsura (Gintama), Akaza (Demon Slayer: Kimetsu no Yaiba), Athrun Zala (Gundam SEED), Vayne Aurelious (Mana Khemia: Alchemist of Al-Revis), Edo Phoenix (Yu-Gi-Oh! GX), Ryunosuke Uryu (Fate/Zero), Satoshi Hiwatari (D.N Angel), Wanshi (Punishing: Gray Raven), Kiyoshiro Higashimitarai (Digimon Ghost Game), Cho Hakkai (Saiyuki series), Guy Crimson (Tensura), Cavendish (One Piece), Xellos (Slayers series), Wizardmon (Digimon Adventures), Akira Soma (Fruits Basket: The Final), Male Protagonist/Makoto Yuki (Persona 3), Otto Apocalypse (Honkai impact 3rd), Luocha (Honkai Star Rail), Clotted Cream Cookie (Cookie Run: Kingdom), Sariel (Granblue Fantasy), Reid Herschel (Tales of Eternia), Kuja (Final Fantasy IX), Jet Enduro (Wild Arms III), Carsilion (Gran Saga), Kaworu Nagisa (Neon Genesis Evangelion), Zeref Dragneel (Fairy Tail), Gaara (Naruto), Ayato Kamisato (Genshin Impact), Byakuya Togami (Danganronpa and Super Danganronpa 2), Ludociel (Seven Deadly Sins), Elidibus (Final Fantasy XIV)"
45,Ishigami Shizuka,"Ch'en, Ch'en the Holungday","Ikumi Mito (Shokugeki no Souma), Ayame Kajou (Shimoneta), Petra Macneary (Fire Emblem: Three Houses), Stella Vermillion (Chivalry of a Failed Knight), Ikuno (Darling in the FranXX), Saori Joumae (Blue Archive)"
46,Ishihara Kaori,Heavyrain,"Aladdin (Magi: The Labyrinth of Magic), Rena Minami (Magia Record), Sorbet Shark Cookie (Cookie Run: Kingdom), Juliet (Granblue Fantasy), Reki (Aria the Scarlet Ammo), Sheila (Dragalia Lost), Ram (Neptunia series), Kanna Tanigawa (Waiting in the Summer), Tsubame Miyama (Schoolgirl Strikers Series)"
47,Ishikawa Kaito,Thorns,"Naofumi Iwatani (The Rising of the Shield Hero), Naruzo Machio (How Heavy Are the Dumbbells You Lift?), Dimitri Alexandre Blaiddyd (Fire Emblem: Three Houses), Marius von Hagen/Izumi Kei/Yoo Shinwoo/Lu Jinghe (Tears of Themis), Noa (Granblue Fantasy), Kageyama Tobio (Haikyuu), Producer (The Idolmaster SideM), Noan (Punishing: Gray Raven), Tsubasa (Gran Saga), Daybit Sem Void (Fate Grand Order), Nero (Devil May Cry series), Pegasus Seiya (Saint Seiya: Legend of Sanctuary), Sakuta Azusagawa (Seishun Buta Yaro), Fidel Camuze (Star Ocean 5), Tsumugi Aoba (Ensemble Stars), Yuzuru Atsuta (Shin Megami Tensei V), Gunvolt (Azure Striker Gunvolt series), Yato no Kami (Onmyouji), Rouin (Lord of Heroes), Logix Ficsario (Atelier Escha and Logy), Noe Archiviste (The Case Study of Vanitas), Nine (Terror in Resonance), Yui (Kemono Jihen), Kasel (King's Raid), Saito Hajime (Fate Grand Order), Genos (One Punch Man), Tenya Iida (My Hero Academia), Arrow (Soul Hackers 2)"
